Row Labels,Top 100 Singles,Highest Position
Al Wilson,8,1
Vic Damone,7,4
Yvonne Elliman,7,1
Wilson Phillips,7,1
Tab Hunter,7,1
UB40,7,1
Tams,7,9
Vikki Carr,7,3
Ted Nugent,7,30
Tom Petty,7,7
Teena Marie,7,4
Tyrese,7,7
Terri Clark,7,27
Undisputed Truth,7,3
The-Dream,7,17
Sue Thompson,7,3
Three Days Grace,7,44
Walter Jackson,7,67
Three Degrees,7,2
Stephanie Mills,7,6
Too Short,7,42
Ruth Brown,7,24
Shai,7,2
Savage Garden,7,1
Ray Charles Singers,7,3
Simply Red,7,1
Quarterflash,7,3
Raspberries,7,5
Rivieras,7,5
Seether,7,20
Robbie Nevil,7,2
Shinedown,7,7
Royal Guardsmen,7,2
Slade,7,20
Raiders,7,1
StainD,7,5
Newbeats,7,2
Peter Cetera,7,1
Midnight Star,7,18
Pure Prairie League,7,10
Mike + The Mechanics,7,1
Nino Tempo & April Stevens,7,1
Mel Carter,7,8
Nitty Gritty Dirt Band,7,9
Neil Young,11,1
The Meters,7,23
Nelly Furtado,7,1
Motels,7,9
Maxwell,7,4
Meco,7,1
Mya,7,2
Michael Stanley Band,7,33
Kris Allen,7,11
Lloyd Price & His Orchestra,7,14
K-Ci & JoJo,7,1
Les Baxter & His Orchestra,7,1
Mac Miller,7,53
Kris Kross,7,1
Leon Russell,7,11
Kylie Minogue,7,3
Lynyrd Skynyrd,7,8
Lee Ann Womack,7,38
Karyn White,7,1
Jordin Sparks,7,8
King Curtis & The Kingpins,7,64
Marshall Tucker Band,7,14
Lisa Lisa & Cult Jam,7,1
Julius LaRosa,7,13
Manhattan Transfer,7,7
Luther Ingram,7,3
Lil' Kim,7,2
John Mellencamp,22,2
Joe Walsh,7,12
Jimmy Ruffin,7,7
Jack Johnson,7,20
Honey Cone,7,1
The Go-Gos,7,2
Go West,7,8
Good Charlotte,7,20
Jo Stafford,7,13
Johnny Gill,7,3
John Cougar,7,1
Jethro Tull,7,11
John Fogerty,7,10
Henry Mancini & His Orchestra,7,21
Hooters,7,18
Herbie Mann,7,14
Hi-Five,7,1
Harry Chapin,7,1
Dire Straits,7,1
Gloria Gaynor,7,1
Gerald Levert,7,11
Eddie Cochran,7,8
E-40,7,13
Erykah Badu,7,6
Ed Ames,7,8
Firehouse,7,5
Four Coins,7,11
Freddie Jackson,7,12
Garth Brooks,7,5
Freddie Scott,7,10
Dick Jacobs & His Chorus & Orchestra,7,16
