,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,In_Out
30,Judas Priest,0.0,20,1,48.0,9.5,0.0,1.0,67.0,0.0,3.45,0
31,Soundgarden,0.0,8,0,17.0,9.0,1.0,1.0,96.0,2.0,3.63,0
32,Carly Simon,0.0,22,0,14.0,8.5,0.0,23.0,1.0,5.0,3.12,0
33,Ice Cube,0.0,3,0,14.0,8.5,0.0,9.0,15.0,1.0,3.56,0
34,Salt-N-Pepa,0.0,7,0,11.0,8.0,0.0,11.0,3.0,1.0,3.4,0
35,Weird Al Yankovic,0.0,14,0,10.0,8.0,0.0,10.0,9.0,0.0,3.25,0
36,"Peter, Paul & Mary",0.0,32,0,7.0,8.0,0.0,19.0,1.0,0.0,3.2,0
37,Three Dog Night,0.0,25,0,3.0,8.0,0.0,21.0,1.0,1.0,3.43,0
38,Steve Winwood,0.0,22,1,16.0,7.5,0.0,15.0,1.0,2.0,3.5,0
39,Toto,0.0,15,0,10.0,7.5,0.0,14.0,1.0,0.0,2.88,0
40,Pantera,0.0,11,0,23.0,7.0,0.0,0.0,0.0,0.0,3.28,0
41,Iron Maiden,0.0,15,0,42.0,6.5,0.0,0.0,0.0,0.0,3.59,0
42,Megadeth,0.0,9,0,15.0,6.5,0.0,1.0,71.0,0.0,3.31,0
43,The B-52's,0.0,15,0,12.0,6.5,1.0,8.0,3.0,1.0,3.71,0
44,Eurythmics,0.0,13,1,16.0,6.5,1.0,15.0,1.0,1.0,3.22,0
45,Conway Twitty,0.0,34,1,19.0,5.5,0.0,20.0,1.0,0.0,2.88,0
46,War,0.0,23,3,13.0,5.5,1.0,16.0,2.0,0.0,2.84,0
47,Phish,0.0,5,0,9.0,5.5,0.0,0.0,0.0,2.0,3.58,0
48,The Commodores,0.0,20,0,11.0,5.0,0.0,25.0,1.0,0.0,3.11,0
49,"Emerson, Lake & Palmer",0.0,24,0,15.0,4.5,0.0,5.0,39.0,0.0,3.18,0
50,Steppenwolf,0.0,26,1,14.0,4.5,0.0,13.0,2.0,0.0,2.82,0
51,Jane's Addiction,0.0,7,1,21.0,4.0,1.0,1.0,72.0,2.0,3.8,0
52,Ice-T,0.0,11,0,13.0,3.5,0.0,2.0,67.0,1.0,3.25,0
53,The J. Geils Band,0.0,23,5,9.0,3.5,0.0,17.0,1.0,2.0,3.71,0
